interaction_ID	ligand_gene_name	receptor_gene_name	sending_cell_type	receiving_cell_type	mean_e_s_l_control	mean_e_s_l_case	mean_e_r_r_control	mean_e_r_r_case	log2FC_rho_s	log2FC_rho_r	log2FC_rho	log2FC_phi_s_l	log2FC_phi_r_r	log2FC_phi	log2FC_p_s_l	log2FC_p_r_r	log2FC_p	log2FC_weights	log10_cum_weight	frac_samples_controls	frac_samples_cases	passed_log10_cum_weight_filter	passed_frac_samples_filter	passed_log10_meanexpr_control_filter	passed_log10_meanexpr_case_filter	passed_log10_meanexpr_per_condition_filter	passed_QC_filter	p.value	p.adj	passed_FDR_threshold	passed_log2FC_threshold	sign
Mono:HP_Mono:CD163	HP	CD163	Mono	Mono	1.42845776440197	1.15288208006309	1.28630197751026	1.15504523604237	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.24771086130945	-0.771138944833035	-1.77746583818221	-0.309213422614055	-0.155280021143733	-0.541698265294435	-3.97556871693025	0.0437931525026182	1	0.428571428571429	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00459308501155062	0.0787074956271188	TRUE	TRUE	TRUE
Mono:ZG16B_Mono:TLR5	ZG16B	TLR5	Mono	Mono	1.21655846172043	0.840003056984949	1.24346272912399	0.893110471267946	-0.454699466932972	-0.454699466932972	0.144635372319155	-0.253259225581448	-0.767179712892728	-1.85182045819512	-0.515319387646009	-0.456512396070825	-0.842729385795046	-3.03954781533545	0.0356069455203734	1	0.571428571428571	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0117846219560094	0.099058190123917	TRUE	TRUE	TRUE
Mono:POMC_Mono:GPR84	POMC	GPR84	Mono	Mono	1.20691707562093	0.754481267733906	1.25126126293917	0.840251756644998	-0.454699466932972	-0.454699466932972	0.144635372319155	-0.194789414328815	0.404098411220004	-0.84991971846601	-0.63219175071618	-0.552412540934105	-1.48838862825368	1.02388291333973	0.0231011796961315	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00731434109476808	0.0907579474471359	TRUE	TRUE	TRUE
Mono:TNFSF12_Mono:TNFRSF8	TNFSF12	TNFRSF8	Mono	Mono	1.24701287536774	0.953980362970814	1.23430124979267	0.722681786407512	-0.454699466932972	-0.454699466932972	0.144635372319155	-0.964979860239392	-1.75340503019417	-3.89190880895883	-0.386444886259678	-0.725323437143635	-1.12793869126567	-3.84889395756665	0.0617375397279636	1	0.428571428571429	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00348804471950662	0.0787074956271188	TRUE	TRUE	TRUE
Mono:HP_Mono:ASGR1	HP	ASGR1	Mono	Mono	1.42845776440197	1.15288208006309	1.34537745044373	1.00833886662699	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.24771086130945	-1.26917648982849	-3.63718087371131	-0.309213422614055	-0.416030424285285	-0.76968294430803	-3.57585309151118	0.0430487080035994	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00174150321812205	0.0559380714530125	TRUE	TRUE	TRUE
Mono:HP_Mono:ASGR2	HP	ASGR2	Mono	Mono	1.42845776440197	1.15288208006309	1.27905667110903	1.17333769974539	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.24771086130945	-0.426680352340419	-1.8977111401835	-0.309213422614055	-0.124461890123816	-0.487754492443772	-5.51156645175547	0.024809971729991	1	0.428571428571429	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00162521792671393	0.0532385622294447	TRUE	TRUE	TRUE
Mono:HLA-DOA_Mono:CD4	HLA-DOA	CD4	Mono	Mono	1.11032251706526	0.86266255325859	1.31900723090681	1.12964031711309	-0.454699466932972	-0.454699466932972	0.144635372319155	-0.998585420872223	0.101798255818818	-1.41090759784793	-0.34532954947983	-0.223588988838651	-0.613326415237232	-1.26824657404364	0.0769174183297602	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00742052704142377	0.0910721527610781	TRUE	TRUE	TRUE
Mono:SEMA6B_Mono:PLXNA2	SEMA6B	PLXNA2	Mono	Mono	1.20751688215304	1.10607381451716	1.17241840947155	0.60629568372211	-0.454699466932972	-0.454699466932972	0.144635372319155	0.125568978283058	-2.18202295103259	-4.09086780057413	-0.126595691426169	-0.870959224008953	-1.49407323718523	-2.76843674470248	0.0404072046029088	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00146689879708214	0.0499517643006393	TRUE	TRUE	TRUE
Mono:SERPINF1_Mono:PLXDC2	SERPINF1	PLXDC2	Mono	Mono	1.0591455264004	0.447705321223777	1.38623572551839	1.2963922319158	-0.454699466932972	-0.454699466932972	0.144635372319155	-3.17310743993763	-0.179505717879735	-4.44090339653809	-1.159548670863	-0.0966703235513514	-1.50614071850576	-3.13340773900009	0.0702251059676068	0.833333333333333	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0109824817822832	0.0968719263368431	TRUE	TRUE	TRUE
Mono:ZP3_Mono:MERTK	ZP3	MERTK	Mono	Mono	1.19724491225316	0.778606028581127	1.14632077741802	0.89260174681205	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.13217008698291	-0.241805390633938	-1.18465042340321	-0.599186075368889	-0.342131522332143	-0.796492797647609	-1.03816342976235	0.0480217824775674	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00546566098135396	0.0815958462859126	TRUE	TRUE	TRUE
Mono:B2M_Mono:CD1C	B2M	CD1C	Mono	Mono	4.2289779493993	3.98525081627698	1.12356974500039	0.726925182624227	-0.454699466932972	-0.454699466932972	0.144635372319155	-0.00150121920706926	-4.09384743067509	-4.54577932714751	-0.0856385132116471	-0.585191795204411	-0.716084793177312	-2.80101806208223	0.130986008700415	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00095000621606655	0.0410501685681614	TRUE	TRUE	TRUE
Mono:NRG1_Mono:NETO2	NRG1	NETO2	Mono	Mono	1.2848676248115	0.61914351829649	1.20522286376837	0.850344093156915	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.81594232823306	-0.222752782597651	-1.90101640933711	-0.996560595246082	-0.482688531195949	-1.9000058736607	-5.4009874691287	0.0350230046282828	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0008862819881792	0.0398211421077738	TRUE	TRUE	TRUE
Mono:SEMA3C_Mono:NRP1	SEMA3C	NRP1	Mono	Mono	1.22696537505642	1.071884357862	1.08362469084828	0.548948635149354	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.36507779367202	-2.04047189411319	-2.71128879993169	-0.194945270256428	-0.891127996241923	-1.31194960755886	-1.08544910064701	0.0541417332669448	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0119198238291395	0.0990891215624103	TRUE	TRUE	TRUE
Mono:SEMA3C_Mono:NRP2	SEMA3C	NRP2	Mono	Mono	1.22696537505642	1.071884357862	1.20300563229991	0.741670968676519	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.36507779367202	-1.00579489747506	-2.71805333021506	-0.194945270256428	-0.650672114531456	-0.992662892778224	-1.27733968715439	0.0307956182892114	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00965736468596083	0.0941801725835803	TRUE	TRUE	TRUE
Mono:ANXA1_Mono:FPR2	ANXA1	FPR2	Mono	Mono	2.38167957134875	2.62463282148768	1.26378866461336	1.12258193471448	-0.454699466932972	-0.454699466932972	0.144635372319155	0.0594323182191551	-2.53912175124191	-2.54372022286653	0.140136280454646	-0.170934483060839	-0.0424998587754365	-1.3438248073435	0.0882710519205102	1	0.428571428571429	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0122603054418271	0.0990891215624103	TRUE	TRUE	TRUE
Mono:PVR_Mono:CD226	PVR	CD226	Mono	Mono	1.16044901003164	0.692493927625629	1.13469969804298	0.831983156176132	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.93627771531806	-4.1243846339601	-3.5659313979221	-0.69733704215043	-0.447684308257305	-1.35391731850528	-2.63393742164009	0.0432648232264872	0.833333333333333	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0110461359820852	0.0971039399512112	TRUE	TRUE	TRUE
Mono:NRG1_Mono:SIGLEC7	NRG1	SIGLEC7	Mono	Mono	1.2848676248115	0.61914351829649	1.21474877720413	1.0122089999515	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.81594232823306	-0.408491554241636	-2.33382640087255	-0.996560595246082	-0.263150773113917	-1.504461477609	-5.9350171922178	0.038211661885623	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.000668565236347122	0.0340883307764677	TRUE	TRUE	TRUE
Mono:NRG1_Mono:HLA-DPB1	NRG1	HLA-DPB1	Mono	Mono	1.2848676248115	0.61914351829649	2.09840339300393	1.53975006468797	-0.454699466932972	-0.454699466932972	0.144635372319155	-1.81594232823306	-0.728731204375848	-2.60090392363381	-0.996560595246082	-0.446595856698517	-1.6488642217777	-6.183751325341	0.10905742082146	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.000728583509039015	0.0356376327001408	TRUE	TRUE	TRUE
Mono:APP_Mono:FPR2	APP	FPR2	Mono	Mono	1.28763924766332	1.1392820736117	1.26378866461336	1.12258193471448	-0.454699466932972	-0.454699466932972	0.144635372319155	-0.611948856306473	-2.53912175124191	-4.51938437087621	-0.176603469841798	-0.170934483060839	-0.43636520266719	-2.81594579246226	0.0369482382092172	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00173807271960849	0.0559071828629748	TRUE	TRUE	TRUE
Mono:ITGAL_Mono:CD226	ITGAL	CD226	Mono	Mono	1.27401805168312	1.2298388482082	1.13469969804298	0.831983156176132	-0.454699466932972	-0.454699466932972	0.144635372319155	0.684427221666285	-4.1243846339601	-3.09218079809426	-0.0509164348518953	-0.447684308257305	-0.576213390125373	-1.84874605474938	0.027028011508815	0.833333333333333	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0126333452545917	0.0995127250394721	TRUE	TRUE	TRUE
Mono:ITGB2_Mono:CD226	ITGB2	CD226	Mono	Mono	1.89390971069282	1.91695376397761	1.13469969804298	0.831983156176132	-0.454699466932972	-0.454699466932972	0.144635372319155	-0.00428575603292317	-4.1243846339601	-4.51064282126842	0.0174479861787677	-0.447684308257305	-0.476003255735184	-2.92046782252851	0.0870946172987512	0.833333333333333	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0100298717075498	0.0949868543508871	TRUE	TRUE	TRUE
Mono:TNFSF14_Gran:LTBR	TNFSF14	LTBR	Mono	Gran	1.31191804124659	0.923883229910482	1.02232876977118	0.706412187636219	-0.454699466932972	-0.510864880928568	-0.360556840027494	-4.49884248457043	-0.112341242364009	-3.98979389791389	-0.485499484412446	-0.512034373685401	-0.924187870572373	-3.64169057763172	0.0324353317238225	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00056079022122019	0.0311943168406252	TRUE	TRUE	TRUE
Mono:CAMP_Gran:FPR2	CAMP	FPR2	Mono	Gran	1.24354313850776	1.01143585400101	1.10728857628669	0.176705613641886	-0.454699466932972	-0.510864880928568	-0.360556840027494	-0.316143589390659	-5.77068865044383	-10.4860335175823	-0.281316583142049	-2.28810503777457	-2.80628914251045	-14.089922496053	0.0543516515685738	0.833333333333333	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00419372696500952	0.0787074956271188	TRUE	TRUE	TRUE
Mono:TNFSF14_Gran:TNFRSF14	TNFSF14	TNFRSF14	Mono	Gran	1.31191804124659	0.923883229910482	0.996165806140966	0.912209586675027	-0.454699466932972	-0.510864880928568	-0.360556840027494	-4.49884248457043	0.308805007337049	-4.06701831520841	-0.485499484412446	-0.127020558699913	-0.740423121663581	-3.55319085413101	0.0254723906953273	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.000585436081208762	0.0320222223646677	TRUE	TRUE	TRUE
Mono:ANXA1_Gran:FPR1	ANXA1	FPR1	Mono	Gran	2.38167957134875	2.62463282148768	1.13910721392532	0.886950860711847	-0.454699466932972	-0.510864880928568	-0.360556840027494	0.0594323182191551	-3.37244568014269	-3.38955125580113	0.140136280454646	-0.30463131397755	-0.365220014228313	-1.91666080274738	0.133593322356441	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00828401741278795	0.093371048327507	TRUE	TRUE	TRUE
Mono:SCGB3A1_Gran:MARCO	SCGB3A1	MARCO	Mono	Gran	1.3470888559048	0.964975923605486	0.986439370786395	0.446586465803223	-0.454699466932972	-0.510864880928568	-0.360556840027494	-4.07597084962078	-1.19115459103403	-3.27725113765445	-0.465033608290405	-1.05490776381064	-1.61154799007403	-2.89536397363616	0.0253453865062587	0.833333333333333	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0123659022978747	0.0990891215624103	TRUE	TRUE	TRUE
Mono:HP_Gran:ITGAM	HP	ITGAM	Mono	Gran	1.42845776440197	1.15288208006309	1.17972693066602	1.06567087139744	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.24771086130945	-0.175771486960235	-3.90439018836103	-0.309213422614055	-0.14669102439277	-0.584975203601276	-3.52186587480636	0.042934502109133	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00258507001624284	0.0678318777726757	TRUE	TRUE	TRUE
Mono:HP_Gran:ITGB2	HP	ITGB2	Mono	Gran	1.42845776440197	1.15288208006309	1.70474969171937	1.69305045982933	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.24771086130945	-0.293535361689115	-1.61234313918236	-0.309213422614055	-0.00993495189724013	-0.350260662533103	-3.27070792291918	0.0997684709897927	1	0.428571428571429	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0102703398345656	0.0954368461600065	TRUE	TRUE	TRUE
Mono:HP_Gran:TLR4	HP	TLR4	Mono	Gran	1.42845776440197	1.15288208006309	1.13910138247285	0.947538128305253	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.24771086130945	-0.634388882860993	-2.86478708544323	-0.309213422614055	-0.265640253066697	-0.683033592529565	-3.2808203701537	0.0564640649792346	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00399717157383373	0.0787074956271188	TRUE	TRUE	TRUE
Mono:HP_Gran:CD163	HP	CD163	Mono	Gran	1.42845776440197	1.15288208006309	1.06635682793299	0.644610808037158	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.24771086130945	-1.52676877370741	-9.85897575248588	-0.309213422614055	-0.675507263152599	-1.25362424233415	-13.2038570083159	0.0302503799721823	1	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2.8732053992698e-06	0.000684881434383837	TRUE	TRUE	TRUE
Mono:HP_Gran:ASGR1	HP	ASGR1	Mono	Gran	1.42845776440197	1.15288208006309	1.10497183600864	0.751668849706845	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.24771086130945	-1.88685494266005	-5.79756215381133	-0.309213422614055	-0.534432072488223	-1.03972457332886	-4.98604827617245	0.0532055692397929	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.000254152027065731	0.0190928581120001	TRUE	TRUE	TRUE
Mono:NRG1_Gran:MS4A4A	NRG1	MS4A4A	Mono	Gran	1.2848676248115	0.61914351829649	1.04862015731613	0.789770878853258	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.81594232823306	-0.463743971384652	-6.84657888951003	-0.996560595246082	-0.390409673795544	-1.6040114275058	-5.86877116346143	0.0396830723281338	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.000151967541978067	0.0137652199523733	TRUE	TRUE	TRUE
Mono:HP_Gran:ASGR2	HP	ASGR2	Mono	Gran	1.42845776440197	1.15288208006309	1.03906695503613	0.695719736383673	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.24771086130945	-0.594276850381403	-4.23072418177774	-0.309213422614055	-0.555808362021813	-0.937186796713467	-5.68204596158104	0.0216385404076709	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.000669874462156243	0.0340883307764677	TRUE	TRUE	TRUE
Mono:SERPINF1_Gran:PLXDC2	SERPINF1	PLXDC2	Mono	Gran	1.0591455264004	0.447705321223777	1.11779089528404	0.965671400681141	-0.454699466932972	-0.510864880928568	-0.360556840027494	-3.17310743993763	-0.693059709490189	-6.23383641436709	-1.159548670863	-0.211046072577408	-1.53688654334655	-5.9628670793007	0.085830276789348	0.833333333333333	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00775863334300262	0.0919943491553913	TRUE	TRUE	TRUE
Mono:TGFB1_Gran:CD109	TGFB1	CD109	Mono	Gran	1.45675542837697	1.33057554619258	0.931656338201458	0.575323122956475	-0.454699466932972	-0.510864880928568	-0.360556840027494	-0.110888967329945	-2.86195444948446	-2.70880921310419	-0.130708261982786	-0.643882223851092	-0.987574051957475	-2.08976278741974	0.0959978257724451	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00136244167097095	0.0485102069797756	TRUE	TRUE	TRUE
Mono:NRG1_Gran:NETO2	NRG1	NETO2	Mono	Gran	1.2848676248115	0.61914351829649	0.988443332994615	0.678607747861995	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.81594232823306	-0.229816393689676	-7.21752040755344	-0.996560595246082	-0.520060791658552	-1.49834616601146	-6.40132239564239	0.0442772839264462	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	8.36049785450124e-05	0.00888842600540754	TRUE	TRUE	TRUE
Mono:SEMA3C_Gran:PLXND1	SEMA3C	PLXND1	Mono	Gran	1.22696537505642	1.071884357862	1.03911095034647	1.02554489484223	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.36507779367202	-0.264332785147677	-3.17995761637835	-0.194945270256428	-0.018959055775907	-0.301498032868364	-2.40084121544014	0.0383284844111599	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00677777947568616	0.0886671382015673	TRUE	TRUE	TRUE
Mono:ANXA1_Gran:FPR2	ANXA1	FPR2	Mono	Gran	2.38167957134875	2.62463282148768	1.10728857628669	0.176705613641886	-0.454699466932972	-0.510864880928568	-0.360556840027494	0.0594323182191551	-5.77068865044383	-10.9289626815157	0.140136280454646	-2.28810503777457	-2.41978298854855	-15.3492266902743	0.120290201237166	0.833333333333333	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00413102730195402	0.0787074956271188	TRUE	TRUE	TRUE
Mono:GRK5_Gran:ADRB2	GRK5	ADRB2	Mono	Gran	1.19285727807012	0.833169683829726	0.971726044194368	0.524683605205411	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.77105705517847	-0.276800800865189	-3.38877200175642	-0.498223705007319	-0.810426752700219	-1.23894800680665	-2.70622252446492	0.0533475047588286	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.000959403275855132	0.0410501685681614	TRUE	TRUE	TRUE
Mono:GNAI2_Gran:FPR1	GNAI2	FPR1	Mono	Gran	1.80853557033256	1.78328461055084	1.13910721392532	0.886950860711847	-0.454699466932972	-0.510864880928568	-0.360556840027494	-0.0353993384180509	-3.37244568014269	-3.51151051619042	-0.0202849991286662	-0.30463131397755	-0.394078899953084	-2.41021450817772	0.119565650853035	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00642346235023349	0.087153567957482	TRUE	TRUE	TRUE
Mono:CALM1_Gran:HMMR	CALM1	HMMR	Mono	Gran	1.89448639755868	1.79404485778498	1.10745030036742	1.13422958012039	-0.454699466932972	-0.510864880928568	-0.360556840027494	-0.0786588579929589	-1.81238344303703	-1.87114027258579	-0.0785908178686257	0.0344707310004555	-0.0716886659205083	-3.48796247846962	0.123514438307176	1	0.428571428571429	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0103664357098297	0.0954368461600065	TRUE	TRUE	TRUE
Mono:PTGS2_Gran:ALOX5	PTGS2	ALOX5	Mono	Gran	1.51344930497623	1.28376357822318	1.07924623614346	0.463701762844498	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.51481107603152	-1.79326977069421	-3.66188308882373	-0.237460815112827	-1.11868982114424	-1.58631079675752	-2.56464155173729	0.0832243217314115	1	0.285714285714286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00486373686092328	0.0792294527727533	TRUE	TRUE	TRUE
Mono:NRG1_Gran:SIGLEC7	NRG1	SIGLEC7	Mono	Gran	1.2848676248115	0.61914351829649	0.948663655211649	0.687871141310594	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.81594232823306	-0.771187104423893	-9.58596944160508	-0.996560595246082	-0.440967277687408	-2.000917379871	-13.3228788984185	0.0327555722347189	0.833333333333333	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00435507254981143	0.0787074956271188	TRUE	TRUE	TRUE
Mono:NRG1_Gran:HLA-DPB1	NRG1	HLA-DPB1	Mono	Gran	1.2848676248115	0.61914351829649	1.6293238524146	1.46306894794874	-0.454699466932972	-0.510864880928568	-0.360556840027494	-1.81594232823306	-1.0052181776481	-6.82134220739208	-0.996560595246082	-0.155275630625542	-1.1807989800096	-6.27828508270961	0.125753641545828	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.000125112785058592	0.0119041135195454	TRUE	TRUE	TRUE
Mono:ACVR2A_Gran:ACVR1B	ACVR2A	ACVR1B	Mono	Gran	1.17689425820935	1.2027310852049	1.01959370966889	0.787375001355629	-0.454699466932972	-0.510864880928568	-0.360556840027494	-0.128252384083226	-1.59706337044594	-3.31880550328697	0.031329408305644	-0.353082256219796	-0.450645598539516	-2.54071344737673	0.0558285575680379	1	0.142857142857143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.00102437243410591	0.0421231348983099	TRUE	TRUE	TRUE
